"key","message","comment","context"
"+{0} more","+{0} 更多","",""
"API Documentation","API文档","",""
"About","关于","",""
"Access Error","访问错误","",""
"Action","操作","",""
"Action Category","分类","",""
"Action Sub-Category","子分类","",""
"Action...","操作...","",""
"Active Users","活跃用户","",""
"Add","添加","",""
"Add Field","添加字段","",""
"Add and new","添加并新建","",""
"Add filter","添加筛选","",""
"Add followers","添加关注者","",""
"Add recipients to post your message.","添加收件人以发布您的消息。","",""
"Add some tags","添加标签","",""
"Add subitem","添加子项","",""
"Add to favorites...","添加到收藏夹…","",""
"Add translation","添加翻译","",""
"Advanced Search","高级搜索","",""
"Align left","左对齐","",""
"Align right","右对齐","",""
"All","全部","",""
"All Day","全天","",""
"All Rights Reserved","版权所有","",""
"Alt.Key","Alt","",""
"An error has occurred{0}. Please contact your administrator.","发生错误{0}。请联系您的管理员。","",""
"Apply","应用","",""
"Apply as default for all users","对所有用户默认应用","",""
"Archive","移至归档","",""
"Archived only","仅归档","",""
"Archived records options","归档记录选项","",""
"Are you sure to unfollow this document?","您确定要取消关注此文档吗？","",""
"Are you sure you want to delete the {0} selected documents?","您确定要删除已选择的{0}个文档吗？","",""
"Are you sure you want to delete {0}?","您确定要删除{0}吗？","",""
"Are you sure you want to reset this view customization?","您确定要重置此视图自定义吗？","",""
"Attached to...","附加到...","",""
"Attachment","附件","",""
"Attachments","附件","",""
"Attributes","属性","",""
"Authenticator app","Application d’authentification","",""
"Authenticator code","Code de l’application d’authentification","",""
"Avg","平均","",""
"Back","返回","",""
"Back to editor","返回编辑器","",""
"Background color","背景颜色","",""
"Blockquote","引用","",""
"Bold (Ctrl+B)","粗体（Ctrl+B）","",""
"Call","呼叫","",""
"Cancel","取消","",""
"Cancelled","已取消","",""
"Center","居中","",""
"Change password","更改密码","",""
"Change your password","更改您的密码","",""
"Clear","清除","",""
"Close","关闭","",""
"Close All","关闭全部","",""
"Close Others","关闭其他","",""
"Close {0}","关闭{0}","",""
"Code","编码","",""
"Collapse All","全部折叠","",""
"Collapse group","折叠组","",""
"Collapse row","折叠行","",""
"Column options","列选项","",""
"Columns","列","",""
"Comment","评论","",""
"Comments","评论","",""
"Confirm new password","确认新密码","",""
"Copied","已复制","",""
"Copy to clipboard","复制到剪贴板","",""
"Count","数量","",""
"Create","创建","",""
"Create document","创建文档","",""
"Create folder","创建文件夹","",""
"Create spreadsheet","电子表格","",""
"Create...","创建...","",""
"Created","已创建","",""
"Created By","创建者","",""
"Created On","创建时间","",""
"Ctrl.Key","Ctrl","",""
"Current changes will be lost. Do you really want to proceed?","当前更改将丢失。确定要继续吗？","",""
"Current changes will be saved. Do you want to proceed?","当前更改将保存。确定要继续吗？","",""
"Current password","当前密码","",""
"Custom ({0})","自定义({0})","",""
"Customize...","自定义...","",""
"DMS.Home","首页","",""
"Day","日","",""
"Days","天","",""
"Decrement","递减","",""
"Delete","移除","",""
"Delete...","删除...","",""
"Delete.Key","删除","",""
"Details...","详情...","",""
"Directory","目录","",""
"Display process","查看流程","",""
"Do you really want to archive the selected record(s)?","您确定要归档选定的记录吗？","",""
"Do you really want to archive the selected record?","您确定要归档选定的记录吗？","",""
"Do you really want to delete the selected record(s)?","您确定要删除此记录吗？","",""
"Do you really want to delete the selected record?","您确定要删除选定的记录吗？","",""
"Do you really want to delete the selected task?","您确定要删除选定的任务吗？","",""
"Do you really want to unarchive the selected record(s)?","您确定要取消归档选定的记录吗？","",""
"Do you really want to unarchive the selected record?","您确定要取消归档选定的记录吗？","",""
"Do you really want to update all {0} record(s)?","您确定要更新全部{0}条记录吗？","",""
"Document","文档","",""
"Documentation","文档","",""
"Domain","域","",""
"Download","下载","",""
"Downloading file…","正在下载文件…","",""
"Downloading {0}…","正在下载{0}…","",""
"Drop files to upload","拖放文件以上传","",""
"Drop here","拖放到此处","",""
"Drop your files to start upload.","拖放文件以开始上传。","",""
"Duplicate","复制","",""
"Edit","编辑","",""
"Either select or create a record.","请选择或创建一条记录。","",""
"Email address","邮箱地址","",""
"Email code","通过邮件收到的验证码","",""
"Email verification","邮件验证","",""
"Enter one of your recovery codes.","输入您的恢复代码之一。","",""
"Enter the code from verification email.","输入通过邮件发送的验证码。","",""
"Enter the code from your authentication app.","Entrez le code de votre application d’authentification.","",""
"Enter your current password to continue.","输入当前密码以继续。","",""
"Enum type","Type d’enum","",""
"Environment","环境","",""
"Error","错误","",""
"Error code :","错误代码：","",""
"Expand All","全部展开","",""
"Expand group","展开组","",""
"Expand row","展开行","",""
