"key","message","comment","context"
"Afghanistan","阿富汗","",""
"Åland Islands","Åland","",""
"Albania","Albanie","",""
"Algeria","阿尔及利亚","",""
"American Samoa","美属萨摩亚","",""
"Andorra","Andorre","",""
"Angola","安哥拉","",""
"Anguilla","安圭拉","",""
"Antigua and Barbuda","Antigua-et-Barbuda","",""
"Argentina","Argentine","",""
"Armenia","亚美尼亚","",""
"Aruba","阿鲁巴","",""
"Ascension Island","Île de l’Ascension","",""
"Australia","Australie","",""
"Austria","Autriche","",""
"Azerbaijan","阿塞拜疆","",""
"Bahamas","巴哈马","",""
"Bahrain","巴林","",""
"Bangladesh","孟加拉国","",""
"Barbados","Barbade","",""
"Belarus","白俄罗斯","",""
"Belgium","Belgique","",""
"Belize","伯利兹","",""
"Benin","贝宁","",""
"Bermuda","Bermudes","",""
"Bhutan","Bhoutan","",""
"Bolivia","Bolivie","",""
"Bosnia and Herzegovina","波斯尼亚和黑塞哥维那","",""
"Botswana","博茨瓦纳","",""
"Brazil","巴西","",""
"British Indian Ocean Territory","英属印度洋领地","",""
"British Virgin Islands","Îles Vierges britanniques","",""
"Brunei","文莱","",""
"Bulgaria","Bulgarie","",""
"Burkina Faso","布基纳法索","",""
"Burundi","布隆迪","",""
"Cambodia","Cambodge","",""
"Cameroon","Cameroun","",""
"Canada","加拿大","",""
"Cape Verde","Cap-Vert","",""
"Caribbean Netherlands","荷兰加勒比区","",""
"Cayman Islands","开曼群岛","",""
"Central African Republic","中非共和国","",""
"Chad","Tchad","",""
"Chile","Chili","",""
"China","Chine","",""
"Christmas Island","Île Christmas","",""
"Cocos (Keeling) Islands","Îles Cocos","",""
"Colombia","Colombie","",""
"Comoros","Comores","",""
"Congo (DRC)","Congo (RDC)","",""
"Congo (Republic)","刚果（布）","",""
"Cook Islands","Îles Cook","",""
"Costa Rica","哥斯达黎加","",""
"Côte d’Ivoire","科特迪瓦","",""
"Croatia","Croatie","",""
"Cuba","古巴","",""
"Curaçao","库拉索","",""
"Cyprus","Chypre","",""
"Czech Republic","捷克","",""
"Denmark","Danemark","",""
"Djibouti","吉布提","",""
"Dominica","Dominique","",""
"Dominican Republic","多米尼加","",""
"Ecuador","Équateur","",""
"Egypt","Égypte","",""
"El Salvador","Salvador","",""
"Equatorial Guinea","赤道几内亚","",""
"Eritrea","厄立特里亚","",""
"Estonia","Estonie","",""
"Eswatini","斯威士兰","",""
"Ethiopia","Éthiopie","",""
"Falkland Islands","Îles Malouines","",""
"Faroe Islands","法罗群岛","",""
"Fiji","Fidji","",""
"Finland","Finlande","",""
"France","法国","",""
"French Guiana","Guyane","",""
"French Polynesia","法属波利尼西亚","",""
"Gabon","加蓬","",""
"Gambia","Gambie","",""
"Georgia","格鲁吉亚","",""
"Germany","Allemagne","",""
"Ghana","加纳","",""
"Gibraltar","直布罗陀","",""
"Greece","希腊","",""
"Greenland","Groenland","",""
"Grenada","Grenade","",""
"Guadeloupe","瓜德罗普","",""
"Guam","关岛","",""
"Guatemala","危地马拉","",""
"Guernsey","Guernesey","",""
"Guinea-Bissau","几内亚比绍","",""
"Guinea","几内亚","",""
"Guyana","圭亚那","",""
"Haiti","海地","",""
"Honduras","洪都拉斯","",""
"Hong Kong","中国香港","",""
"Hungary","Hongrie","",""
"Iceland","Islande","",""
"India","Inde","",""
"Indonesia","印度尼西亚","",""
"Iran","伊朗","",""
"Iraq","Irak","",""
"Ireland","Irlande","",""
"Isle of Man","Île de Man","",""
"Israel","以色列","",""
"Italy","Italie","",""
"Jamaica","牙买加","",""
"Japan","Japon","",""
"Jersey","泽西岛","",""
"Jordan","Jordanie","",""
"Kazakhstan","哈萨克斯坦","",""
"Kenya","肯尼亚","",""
"Kiribati","基里巴斯","",""
"Kosovo","科索沃","",""
"Kuwait","科威特","",""
"Kyrgyzstan","Kirghizistan","",""
"Laos","老挝","",""
"Latvia","Lettonie","",""
"Lebanon","Liban","",""
"Lesotho","莱索托","",""
"Liberia","利比里亚","",""
"Libya","Libye","",""
"Liechtenstein","列支敦士登","",""
"Lithuania","Lituanie","",""
"Luxembourg","卢森堡","",""
"Macau","Macao","",""
"Macedonia (FYROM)","北马其顿","",""
"Madagascar","马达加斯加","",""
"Malawi","马拉维","",""
"Malaysia","Malaisie","",""
"Maldives","马尔代夫","",""
"Mali","马里","",""
"Malta","Malte","",""
"Marshall Islands","Îles Marshall","",""
"Martinique","马提尼克","",""
"Mauritania","Mauritanie","",""
"Mauritius","Maurice","",""
"Mayotte","马约特","",""
"Mexico","Mexique","",""
"Micronesia","密克罗尼西亚","",""
"Moldova","Moldavie","",""
"Monaco","摩纳哥","",""
"Mongolia","Mongolie","",""
"Montenegro","黑山","",""
"Montserrat","蒙特塞拉特","",""
"Morocco","Maroc","",""
"Mozambique","莫桑比克","",""
"Myanmar (Burma)","Birmanie","",""
"Namibia","Namibie","",""
"Nauru","瑙鲁","",""
"Nepal","尼泊尔","",""
"Netherlands","Pays-Bas","",""
"New Caledonia","新喀里多尼亚","",""
"New Zealand","新西兰","",""
"Nicaragua","尼加拉瓜","",""
"Niger","尼日尔","",""
"Nigeria","尼日利亚","",""
"Niue","纽埃","",""
"Norfolk Island","Île Norfolk","",""
"North Korea","朝鲜","",""
"Northern Mariana Islands","Îles Mariannes du Nord","",""
"Norway","挪威","",""
"Oman","阿曼","",""
"Pakistan","巴基斯坦","",""
"Palau","Palaos","",""
"Palestine","巴勒斯坦","",""
"Panama","巴拿马","",""
"Papua New Guinea","巴布亚新几内亚","",""
"Paraguay","巴拉圭","",""
"Peru","秘鲁","",""
"Philippines","菲律宾","",""
"Poland","Pologne","",""
"Portugal","葡萄牙","",""
"Puerto Rico","Porto Rico","",""
"Qatar","卡塔尔","",""
"Réunion","留尼汪","",""
"Romania","Roumanie","",""
"Russia","Russie","",""
"Rwanda","卢旺达","",""
"Saint Barthélemy","圣巴泰勒米","",""
"Saint Helena","圣赫勒拿","",""
"Saint Kitts and Nevis","圣基茨和尼维斯","",""
"Saint Lucia","Sainte-Lucie","",""
"Saint Martin","法属圣马丁","",""
"Saint Pierre and Miquelon","Saint-Pierre-et-Miquelon","",""
"Saint Vincent and the Grenadines","Saint-Vincent-et-les-Grenadines","",""
"Samoa","萨摩亚","",""
"San Marino","Saint-Marin","",""
"São Tomé and Príncipe","圣多美和普林西比","",""
"Saudi Arabia","Arabie saoudite","",""
"Senegal","塞内加尔","",""
"Serbia","Serbie","",""
"Seychelles","塞舌尔","",""
"Sierra Leone","塞拉利昂","",""
"Singapore","Singapour","",""
"Sint Maarten","Saint-Martin (royaume des Pays-Bas)","",""
"Slovakia","Slovaquie","",""
"Slovenia","斯洛文尼亚","",""
"Solomon Islands","Îles Salomon","",""
"Somalia","Somalie","",""
"South Africa","Afrique du Sud","",""
"South Korea","韩国","",""
"South Sudan","Soudan du Sud","",""
"Spain","Espagne","",""
"Sri Lanka","斯里兰卡","",""
"Sudan","Soudan","",""
"Suriname","苏里南","",""
"Svalbard and Jan Mayen","Svalbard et Jan Mayen","",""
"Sweden","瑞典","",""
"Switzerland","Suisse","",""
"Syria","Syrie","",""
"Taiwan","中国台湾","",""
"Tajikistan","Tadjikistan","",""
"Tanzania","Tanzanie","",""
"Thailand","泰国","",""
"Timor-Leste","Timor oriental","",""
"Togo","多哥","",""
"Tokelau","托克劳","",""
"Tonga","汤加","",""
"Trinidad and Tobago","特立尼达和多巴哥","",""
"Tunisia","Tunisie","",""
"Turkey","Turquie","",""
"Turkmenistan","土库曼斯坦","",""
"Turks and Caicos Islands","特克斯和凯科斯群岛","",""
"Tuvalu","图瓦卢","",""
"U.S. Virgin Islands","Îles Vierges des États-Unis","",""
"Uganda","Ouganda","",""
"Ukraine","乌克兰","",""
"United Arab Emirates","Émirats arabes unis","",""
"United Kingdom","Royaume-Uni","",""
"United States","États-Unis","",""
"Uruguay","乌拉圭","",""
"Uzbekistan","乌兹别克斯坦","",""
"Vanuatu","瓦努阿图","",""
"Vatican City","Vatican","",""
"Venezuela","委内瑞拉","",""
"Vietnam","越南","",""
"Wallis and Futuna","Wallis-et-Futuna","",""
"Western Sahara","Sahara occidental","",""
